,school,sex,age,address,family_size,parent_status,mothers_education,fathers_education,mothers_job,fathers_job,reason,guardian,traveltime,studytime,failures,extra_support,family_support,extra_classes,activities,nursery,higher_education,internet,romantic,family_relation,freetime,out_with_friends,daily_alcohol_cons,weekend_alcohol_cons,health,absences,first_grade,second_grade,final_grade
137,Gabriel Pereira,Female,16,Urban,4 or more,Apart,5th - 9th,5th - 9th,other,other,home,mother,1,1,1,no,no,no,no,yes,yes,no,no,excellent,normal,high,very low,very low,excellent,12,13,11,11
138,Gabriel Pereira,Male,15,Rural,4 or more,Together,secondary,higher,at_home,teacher,course,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,excellent,normal,normal,very low,very low,excellent,2,12,11,11
139,Gabriel Pereira,Female,15,Urban,4 or more,Together,higher,higher,services,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,good,normal,normal,very low,very low,excellent,4,13,14,15
140,Gabriel Pereira,Male,17,Rural,4 or more,Together,secondary,higher,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,no,excellent,high,very high,low,high,excellent,2,10,9,10
141,Gabriel Pereira,Female,16,Rural,4 or more,Together,primary,primary,at_home,other,course,mother,4,2,0,no,yes,no,no,yes,yes,no,no,excellent,very low,normal,very low,very low,normal,0,14,13,13
142,Gabriel Pereira,Male,18,Urban,3 or less,Together,secondary,primary,services,services,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,normal,normal,high,high,very high,good,2,11,11,12
143,Gabriel Pereira,Female,18,Urban,4 or more,Apart,secondary,5th - 9th,other,services,course,other,1,3,0,no,yes,no,yes,no,yes,yes,yes,good,normal,normal,very high,very low,excellent,10,12,11,11
144,Gabriel Pereira,Female,16,Rural,4 or more,Together,primary,primary,other,services,reputation,mother,2,1,0,no,yes,no,yes,yes,yes,no,yes,normal,normal,normal,very low,low,very bad,8,12,11,11
145,Gabriel Pereira,Female,16,Urban,4 or more,Apart,secondary,secondary,other,other,course,other,2,1,0,no,yes,no,yes,no,yes,yes,yes,good,normal,low,very low,very low,excellent,4,9,9,10
146,Gabriel Pereira,Male,16,Urban,3 or less,Together,primary,primary,services,other,course,mother,1,2,2,no,no,no,no,yes,yes,no,yes,good,high,high,very low,normal,excellent,0,10,10,10
147,Gabriel Pereira,Female,15,Urban,4 or more,Together,higher,higher,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,good,normal,low,very low,very low,excellent,6,13,14,14
148,Gabriel Pereira,Female,15,Rural,4 or more,Together,primary,primary,other,other,course,mother,3,1,1,no,no,no,yes,yes,yes,yes,yes,excellent,very high,very high,very low,very low,very bad,2,8,9,9
149,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,secondary,teacher,services,course,father,2,4,0,yes,yes,no,no,yes,yes,yes,no,bad,low,low,very low,very low,normal,6,9,11,11
150,Gabriel Pereira,Female,15,Urban,4 or more,Apart,secondary,secondary,services,services,home,mother,1,2,0,no,no,no,no,no,yes,no,yes,very bad,normal,low,low,normal,very bad,24,9,8,9
151,Gabriel Pereira,Male,16,Urban,4 or more,Together,higher,higher,services,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,excellent,normal,normal,very low,normal,excellent,0,15,13,13
152,Gabriel Pereira,Male,16,Urban,3 or less,Together,5th - 9th,5th - 9th,services,services,reputation,father,2,1,0,no,yes,no,yes,yes,yes,yes,no,bad,normal,normal,low,low,bad,4,12,11,11
153,Gabriel Pereira,Female,15,Urban,4 or more,Together,higher,higher,teacher,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,good,low,low,very low,very low,excellent,2,13,13,13
154,Gabriel Pereira,Female,16,Urban,3 or less,Together,primary,primary,at_home,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,normal,high,high,normal,normal,very bad,4,10,11,11
155,Gabriel Pereira,Male,17,Urban,4 or more,Together,5th - 9th,primary,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,excellent,high,very high,very low,low,excellent,22,9,7,6
156,Gabriel Pereira,Female,15,Urban,4 or more,Together,primary,primary,other,services,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,good,high,low,very low,low,excellent,0,12,12,12
157,Gabriel Pereira,Female,15,Urban,3 or less,Apart,5th - 9th,primary,at_home,other,home,mother,2,1,0,no,yes,no,yes,yes,no,yes,yes,good,high,low,very low,very low,excellent,0,11,10,10
158,Gabriel Pereira,Female,15,Urban,4 or more,Together,secondary,5th - 9th,health,services,home,father,1,2,1,no,yes,no,no,yes,yes,yes,no,normal,normal,low,very low,very low,normal,2,11,11,11
159,Gabriel Pereira,Female,15,Urban,4 or more,Together,primary,5th - 9th,at_home,other,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,good,normal,low,very low,very low,excellent,6,13,12,13
160,Gabriel Pereira,Female,15,Urban,4 or more,Together,primary,5th - 9th,at_home,services,course,father,1,2,0,no,no,no,no,no,yes,no,yes,bad,normal,high,low,high,very bad,6,11,11,11
161,Gabriel Pereira,Male,16,Urban,4 or more,Together,higher,higher,teacher,teacher,course,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,normal,normal,low,low,very low,excellent,16,9,9,8
162,Gabriel Pereira,Male,15,Urban,3 or less,Apart,5th - 9th,primary,services,other,course,mother,4,1,0,no,no,no,no,yes,yes,yes,no,good,very high,very high,low,very high,excellent,0,12,11,11
163,Gabriel Pereira,Male,18,Urban,3 or less,Together,primary,primary,other,other,course,mother,1,1,2,no,no,no,no,yes,no,yes,yes,bad,normal,very high,low,very high,good,0,11,9,0
164,Gabriel Pereira,Male,16,Urban,3 or less,Together,5th - 9th,primary,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,good,high,high,normal,very high,excellent,6,9,10,10
165,Gabriel Pereira,Female,15,Rural,4 or more,Together,secondary,secondary,services,services,reputation,other,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,good,low,very low,low,normal,normal,2,13,13,13
166,Gabriel Pereira,Male,19,Urban,4 or more,Together,secondary,5th - 9th,services,at_home,home,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,good,very high,high,very low,very low,good,6,11,9,11
167,Gabriel Pereira,Female,17,Urban,4 or more,Together,higher,higher,other,teacher,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,good,low,very low,very low,very low,good,0,13,13,13
168,Gabriel Pereira,Male,15,Rural,4 or more,Together,5th - 9th,secondary,at_home,services,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,good,high,high,very low,very low,very bad,0,7,8,8
169,Gabriel Pereira,Male,17,Rural,3 or less,Together,primary,5th - 9th,other,other,reputation,mother,1,1,3,no,no,no,no,yes,yes,no,no,bad,low,low,normal,normal,excellent,14,9,8,10
170,Gabriel Pereira,Female,18,Rural,4 or more,Together,primary,primary,at_home,other,course,mother,3,1,3,no,yes,no,yes,no,yes,no,no,excellent,low,very high,very low,very high,good,6,11,10,11
171,Gabriel Pereira,Male,16,Rural,4 or more,Together,5th - 9th,5th - 9th,at_home,other,course,mother,3,1,0,no,no,no,no,no,yes,no,no,good,low,low,very low,low,normal,4,12,10,11
172,Gabriel Pereira,Male,16,Urban,4 or more,Together,secondary,secondary,other,services,course,father,1,2,1,no,yes,no,no,yes,yes,yes,yes,good,very high,very high,high,high,excellent,0,10,10,1
173,Gabriel Pereira,Male,16,Urban,3 or less,Together,primary,5th - 9th,health,services,course,mother,2,1,2,no,no,no,no,no,yes,yes,no,good,high,very high,normal,very high,excellent,0,9,8,10
174,Gabriel Pereira,Male,17,Rural,3 or less,Together,5th - 9th,primary,at_home,other,course,mother,2,1,1,no,no,yes,yes,yes,no,yes,yes,normal,normal,low,low,low,excellent,8,8,8,9
175,Gabriel Pereira,Male,17,Rural,4 or more,Together,secondary,5th - 9th,other,other,course,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,good,high,high,very low,high,normal,4,7,6,8
176,Gabriel Pereira,Male,15,Urban,3 or less,Together,primary,5th - 9th,other,other,course,mother,2,1,0,no,no,no,yes,yes,yes,no,no,good,high,high,low,high,excellent,2,8,9,10
177,Gabriel Pereira,Male,16,Urban,4 or more,Together,primary,secondary,at_home,services,course,father,1,1,1,no,no,no,no,yes,no,yes,no,excellent,normal,normal,very low,high,bad,2,9,8,8
178,Gabriel Pereira,Male,17,Rural,3 or less,Together,primary,primary,other,services,course,mother,4,2,0,no,no,no,yes,yes,no,no,yes,excellent,normal,very high,very low,very high,excellent,0,8,8,8
179,Gabriel Pereira,Male,17,Urban,4 or more,Together,secondary,5th - 9th,services,services,course,mother,2,1,3,no,yes,no,yes,no,no,no,no,good,very high,low,very low,very low,bad,10,8,7,8
180,Gabriel Pereira,Male,16,Urban,4 or more,Together,5th - 9th,5th - 9th,other,other,course,father,1,2,0,no,no,no,no,yes,no,yes,no,good,normal,very high,low,high,good,0,9,10,11
181,Gabriel Pereira,Female,16,Urban,4 or more,Together,higher,5th - 9th,health,services,home,father,1,2,0,no,no,no,no,yes,yes,yes,yes,good,low,normal,very low,very low,normal,0,17,17,18
182,Gabriel Pereira,Female,16,Urban,4 or more,Together,5th - 9th,5th - 9th,other,other,home,mother,1,2,0,no,yes,no,no,no,yes,yes,no,excellent,very low,very high,very low,very low,good,0,12,12,13
183,Gabriel Pereira,Female,16,Urban,4 or more,Together,higher,higher,health,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,good,high,low,very low,very low,normal,0,16,16,17
184,Gabriel Pereira,Male,16,Urban,4 or more,Together,secondary,higher,other,other,course,father,3,1,1,no,yes,no,yes,no,yes,yes,no,normal,high,very high,low,high,bad,4,9,9,10
185,Gabriel Pereira,Male,16,Urban,4 or more,Together,primary,None,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,good,normal,low,very low,very low,normal,0,16,17,18
186,Gabriel Pereira,Male,17,Urban,3 or less,Together,higher,higher,teacher,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,good,high,high,very low,normal,excellent,0,11,9,10
187,Gabriel Pereira,Female,16,Urban,4 or more,Together,primary,secondary,at_home,services,home,mother,1,2,0,no,no,no,yes,no,yes,yes,yes,good,normal,very high,very low,very low,normal,0,14,13,13
188,Gabriel Pereira,Female,16,Urban,3 or less,Together,secondary,secondary,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,good,high,very high,very low,very low,good,0,14,14,15
189,Gabriel Pereira,Male,17,Urban,3 or less,Together,higher,secondary,teacher,other,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,good,high,high,high,high,good,0,10,11,11
190,Gabriel Pereira,Female,16,Urban,4 or more,Together,5th - 9th,5th - 9th,services,other,reputation,mother,2,2,0,no,no,no,yes,no,yes,yes,no,normal,high,high,very low,high,excellent,0,13,12,14
191,Gabriel Pereira,Male,17,Urban,4 or more,Together,secondary,secondary,other,other,reputation,father,1,2,0,no,no,no,yes,no,yes,yes,no,good,normal,high,very low,high,good,4,11,9,10
192,Gabriel Pereira,Male,16,Rural,4 or more,Together,higher,5th - 9th,teacher,services,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,good,normal,normal,normal,high,normal,8,10,9,11
193,Gabriel Pereira,Male,17,Urban,4 or more,Together,higher,secondary,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,excellent,low,normal,very low,very low,bad,4,11,11,13
194,Gabriel Pereira,Male,16,Urban,4 or more,Together,higher,secondary,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,normal,high,normal,low,normal,normal,4,11,10,11
195,Gabriel Pereira,Male,16,Urban,4 or more,Together,secondary,secondary,services,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,good,low,normal,very low,low,normal,0,11,12,13
196,Gabriel Pereira,Female,17,Urban,4 or more,Together,5th - 9th,higher,services,services,reputation,father,1,2,0,no,yes,no,yes,yes,yes,no,no,excellent,high,low,low,normal,excellent,0,17,18,17
197,Gabriel Pereira,Female,17,Urban,3 or less,Together,secondary,secondary,other,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,excellent,normal,normal,low,normal,very bad,32,14,13,14
198,Gabriel Pereira,Female,16,Urban,4 or more,Together,secondary,5th - 9th,other,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,very bad,low,low,very low,low,very bad,8,14,15,16
199,Gabriel Pereira,Male,17,Urban,4 or more,Together,secondary,secondary,services,services,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,good,normal,high,low,normal,good,6,11,13,14
200,Gabriel Pereira,Male,16,Urban,4 or more,Together,primary,5th - 9th,services,services,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,normal,normal,normal,very low,low,normal,0,10,9,11
201,Gabriel Pereira,Male,16,Urban,3 or less,Together,5th - 9th,primary,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,good,low,normal,very low,low,excellent,0,13,14,16
202,Gabriel Pereira,Female,17,Urban,4 or more,Apart,secondary,secondary,health,other,reputation,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,normal,normal,normal,very low,normal,normal,10,12,13,14
203,Gabriel Pereira,Male,17,Rural,4 or more,Together,primary,5th - 9th,at_home,other,home,mother,1,2,0,no,no,no,no,yes,yes,no,no,normal,very low,normal,very low,very high,normal,6,9,9,10
204,Gabriel Pereira,Female,16,Urban,4 or more,Together,5th - 9th,secondary,services,services,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,good,normal,normal,very low,very low,bad,6,12,12,13
205,Gabriel Pereira,Female,17,Urban,4 or more,Together,primary,primary,at_home,services,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,excellent,normal,normal,very low,very low,normal,0,12,11,12
206,Gabriel Pereira,Male,17,Urban,4 or more,Together,primary,5th - 9th,at_home,services,other,other,2,2,0,no,no,no,yes,no,yes,yes,no,good,high,high,high,very high,excellent,16,10,11,12
207,Gabriel Pereira,Male,16,Rural,4 or more,Together,secondary,secondary,services,services,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,good,normal,low,normal,high,excellent,0,11,10,10
208,Gabriel Pereira,Male,16,Urban,4 or more,Together,5th - 9th,secondary,other,other,home,father,2,1,0,no,no,no,no,yes,yes,yes,no,excellent,normal,normal,very low,very low,normal,0,13,12,12
209,Gabriel Pereira,Female,17,Urban,3 or less,Together,5th - 9th,higher,services,services,course,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,good,normal,low,very low,very low,excellent,8,14,15,16
210,Gabriel Pereira,Male,17,Urban,4 or more,Together,higher,higher,services,teacher,home,mother,1,1,0,no,no,no,no,yes,yes,yes,no,excellent,low,normal,very low,low,excellent,4,13,13,14
211,Gabriel Pereira,Male,16,Rural,3 or less,Together,secondary,secondary,teacher,other,home,father,3,1,0,no,yes,no,yes,yes,yes,yes,no,normal,normal,high,normal,very high,normal,16,10,11,12
212,Gabriel Pereira,Female,17,Urban,4 or more,Together,higher,higher,services,teacher,home,mother,2,1,1,no,yes,no,no,yes,yes,yes,no,good,low,high,low,normal,bad,30,14,15,16
213,Gabriel Pereira,Female,16,Urban,3 or less,Together,higher,higher,teacher,teacher,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,good,very high,low,very low,low,normal,0,11,10,11
214,Gabriel Pereira,Female,16,Urban,4 or more,Together,higher,secondary,health,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,good,normal,very high,very low,very high,bad,2,14,14,15
215,Gabriel Pereira,Female,16,Urban,4 or more,Together,5th - 9th,secondary,other,other,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,no,no,good,high,normal,very low,normal,good,4,11,12,12
216,Gabriel Pereira,Female,17,Urban,4 or more,Together,primary,primary,other,other,course,mother,1,2,0,no,yes,no,no,no,yes,no,no,good,high,high,very low,normal,very bad,0,14,15,15
217,Gabriel Pereira,Female,17,Rural,4 or more,Together,5th - 9th,5th - 9th,other,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,excellent,normal,low,very low,low,normal,21,13,13,13
218,Gabriel Pereira,Female,16,Rural,4 or more,Together,5th - 9th,5th - 9th,services,services,reputation,mother,2,4,0,no,yes,no,yes,no,yes,yes,no,excellent,normal,very high,very low,very low,excellent,6,13,13,13
219,Gabriel Pereira,Female,17,Urban,4 or more,Together,secondary,higher,at_home,services,home,mother,1,3,1,no,yes,yes,no,yes,yes,yes,yes,good,high,normal,normal,high,excellent,14,8,9,8
220,Gabriel Pereira,Female,16,Urban,4 or more,Apart,secondary,primary,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,bad,normal,normal,low,low,good,2,11,11,12
221,Gabriel Pereira,Female,16,Urban,4 or more,Together,higher,secondary,teacher,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,very bad,normal,low,very low,very low,very bad,4,14,15,15
222,Gabriel Pereira,Female,16,Urban,4 or more,Together,primary,primary,at_home,other,home,mother,2,1,0,no,yes,no,no,yes,yes,no,no,good,normal,low,very low,high,excellent,2,12,13,13
223,Gabriel Pereira,Female,17,Rural,4 or more,Together,higher,secondary,teacher,other,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,good,high,low,very low,very low,good,0,11,12,12
224,Gabriel Pereira,Female,19,Urban,4 or more,Together,secondary,secondary,other,other,reputation,other,1,4,0,no,yes,no,yes,yes,yes,yes,no,good,normal,normal,very low,low,normal,4,12,12,12
225,Gabriel Pereira,Male,17,Urban,3 or less,Together,higher,higher,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,excellent,normal,very high,high,very high,normal,15,13,12,12
226,Gabriel Pereira,Female,16,Urban,4 or more,Apart,5th - 9th,5th - 9th,other,other,reputation,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,normal,normal,high,very low,very low,good,0,13,13,13
227,Gabriel Pereira,Male,18,Urban,4 or more,Together,5th - 9th,5th - 9th,services,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,good,high,high,low,high,excellent,10,12,11,11
228,Gabriel Pereira,Female,17,Rural,3 or less,Together,higher,higher,services,other,other,mother,1,1,0,no,yes,no,no,yes,yes,no,no,excellent,low,very low,very low,low,normal,6,12,11,11
229,Gabriel Pereira,Female,17,Urban,3 or less,Together,secondary,5th - 9th,other,other,reputation,mother,2,2,0,no,no,no,no,yes,yes,yes,no,good,high,high,very low,normal,very bad,2,14,16,15
230,Gabriel Pereira,Female,17,Urban,4 or more,Together,higher,secondary,other,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,normal,high,very high,low,high,very bad,16,11,9,10
231,Gabriel Pereira,Male,18,Urban,3 or less,Together,secondary,secondary,services,health,home,father,1,2,0,no,yes,no,no,yes,yes,yes,no,normal,low,high,low,high,good,10,10,10,10
232,Gabriel Pereira,Female,17,Urban,4 or more,Together,5th - 9th,secondary,at_home,other,home,father,2,1,0,no,yes,no,no,yes,yes,no,no,normal,normal,normal,very low,high,normal,4,12,13,13
233,Gabriel Pereira,Female,17,Urban,4 or more,Together,5th - 9th,5th - 9th,at_home,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,good,normal,normal,very low,very low,good,0,12,12,13
234,Gabriel Pereira,Female,17,Rural,4 or more,Together,5th - 9th,primary,at_home,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,good,low,very high,very low,low,excellent,0,11,10,11
235,Gabriel Pereira,Female,17,Urban,4 or more,Together,primary,primary,at_home,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,no,yes,good,normal,high,very low,very low,excellent,12,12,12,12
236,Gabriel Pereira,Female,16,Urban,4 or more,Together,5th - 9th,secondary,services,teacher,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,bad,normal,very low,very low,very low,normal,0,13,13,14
237,Gabriel Pereira,Male,18,Urban,4 or more,Together,5th - 9th,5th - 9th,other,other,home,mother,2,2,3,no,yes,yes,no,yes,yes,yes,no,normal,normal,normal,very high,very high,good,9,10,9,10
238,Gabriel Pereira,Female,16,Urban,4 or more,Together,higher,higher,teacher,services,home,mother,1,3,0,no,yes,no,yes,no,yes,yes,no,excellent,normal,low,very low,very low,excellent,4,15,16,16
239,Gabriel Pereira,Female,18,Rural,4 or more,Together,secondary,primary,other,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,excellent,normal,normal,very low,very low,good,4,8,8,8
240,Gabriel Pereira,Female,17,Urban,4 or more,Together,secondary,5th - 9th,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,excellent,normal,high,very low,normal,normal,2,17,18,17
241,Gabriel Pereira,Male,17,Urban,3 or less,Together,5th - 9th,secondary,services,services,reputation,father,1,2,0,no,yes,no,no,no,yes,yes,no,excellent,normal,normal,very low,normal,normal,0,10,11,11
242,Gabriel Pereira,Male,18,Urban,3 or less,Together,5th - 9th,primary,at_home,other,course,mother,4,2,0,yes,yes,no,yes,yes,yes,yes,yes,good,normal,low,high,very high,normal,2,9,10,11
243,Gabriel Pereira,Female,17,Urban,4 or more,Apart,5th - 9th,primary,other,other,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,normal,low,normal,very low,low,normal,0,15,15,16
244,Gabriel Pereira,Female,17,Urban,3 or less,Together,higher,secondary,health,other,reputation,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,normal,low,normal,very low,low,normal,0,14,12,12
245,Gabriel Pereira,Male,17,Rural,4 or more,Together,5th - 9th,5th - 9th,other,other,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,no,good,very high,low,very low,very low,very bad,0,12,13,13
246,Gabriel Pereira,Male,17,Urban,4 or more,Together,higher,higher,teacher,teacher,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,good,very high,very high,very low,normal,bad,0,13,13,13
247,Gabriel Pereira,Male,16,Urban,4 or more,Together,higher,higher,health,other,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,good,low,high,low,high,very bad,0,13,13,14
248,Gabriel Pereira,Male,16,Urban,3 or less,Together,primary,primary,other,other,home,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,normal,high,low,very low,very low,excellent,2,9,9,9
249,Gabriel Pereira,Male,16,Urban,4 or more,Together,secondary,5th - 9th,at_home,other,reputation,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,excellent,normal,normal,very low,normal,bad,0,12,12,12
250,Gabriel Pereira,Male,17,Urban,3 or less,Together,5th - 9th,5th - 9th,other,other,home,father,1,2,0,no,no,no,yes,no,yes,yes,yes,good,high,low,very high,very high,good,0,16,16,16
251,Gabriel Pereira,Female,16,Urban,4 or more,Together,5th - 9th,primary,other,other,home,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,good,very high,low,very low,very low,excellent,4,9,10,10
252,Gabriel Pereira,Female,16,Urban,4 or more,Apart,higher,primary,other,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,excellent,normal,normal,very low,low,excellent,0,14,13,13
253,Gabriel Pereira,Female,18,Urban,3 or less,Apart,5th - 9th,higher,services,other,course,mother,2,2,1,no,yes,no,no,yes,yes,yes,no,good,normal,normal,very low,very low,normal,18,10,10,10
254,Gabriel Pereira,Female,18,Urban,3 or less,Together,5th - 9th,5th - 9th,at_home,services,course,mother,1,2,1,no,yes,no,no,no,yes,yes,yes,excellent,normal,very low,very low,very low,excellent,16,9,8,10
255,Gabriel Pereira,Female,18,Urban,4 or more,Together,secondary,secondary,other,other,course,mother,2,1,1,no,no,no,no,yes,no,yes,no,good,very low,very low,very low,very low,normal,14,8,7,7
256,Gabriel Pereira,Male,18,Urban,4 or more,Together,5th - 9th,5th - 9th,other,at_home,course,other,1,1,1,no,yes,no,yes,no,no,yes,yes,good,high,normal,low,low,very bad,26,7,8,8
257,Gabriel Pereira,Male,17,Urban,4 or more,Together,higher,higher,teacher,teacher,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,good,low,very low,very low,low,excellent,6,10,8,9
258,Gabriel Pereira,Female,17,Urban,4 or more,Together,secondary,5th - 9th,other,other,course,father,1,2,0,no,no,no,yes,yes,yes,no,no,excellent,high,low,very low,very low,normal,4,14,14,15
259,Gabriel Pereira,Female,17,Urban,3 or less,Together,primary,primary,at_home,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,good,normal,low,very low,low,good,10,11,10,10
260,Gabriel Pereira,Female,16,Urban,4 or more,Together,primary,5th - 9th,other,other,course,mother,1,1,0,no,no,no,no,yes,no,yes,no,excellent,normal,very high,very low,low,excellent,4,12,11,11
261,Gabriel Pereira,Female,17,Rural,4 or more,Together,5th - 9th,primary,at_home,services,course,mother,3,2,0,no,no,no,yes,yes,yes,no,no,bad,very low,very low,very low,very low,normal,2,13,13,13
262,Gabriel Pereira,Female,17,Rural,3 or less,Apart,primary,higher,other,other,course,other,4,1,1,no,yes,no,no,yes,yes,yes,no,excellent,very high,high,very low,very low,excellent,14,9,9,8
263,Gabriel Pereira,Male,18,Urban,4 or more,Together,5th - 9th,5th - 9th,other,services,reputation,father,1,2,0,no,no,no,no,yes,no,yes,no,excellent,very high,high,normal,very high,bad,16,8,7,8
264,Gabriel Pereira,Female,17,Urban,3 or less,Apart,5th - 9th,5th - 9th,other,other,home,mother,1,1,1,no,yes,no,no,no,no,yes,no,normal,very low,low,very low,very low,very bad,8,11,9,10
265,Gabriel Pereira,Female,17,Rural,3 or less,Together,primary,primary,at_home,other,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,no,good,normal,normal,very low,normal,excellent,4,15,14,15
266,Gabriel Pereira,Female,17,Urban,3 or less,Apart,higher,5th - 9th,teacher,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,good,normal,low,very low,very low,good,4,15,14,14
267,Gabriel Pereira,Male,17,Urban,3 or less,Together,higher,secondary,health,other,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,bad,very high,very high,very low,high,excellent,8,15,15,15
268,Gabriel Pereira,Male,17,Rural,3 or less,Apart,higher,higher,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,normal,normal,normal,low,normal,good,0,12,12,12
269,Gabriel Pereira,Male,16,Urban,3 or less,Together,higher,secondary,teacher,other,course,mother,1,1,0,no,no,no,yes,no,yes,yes,no,excellent,high,very high,very low,very low,normal,7,14,14,15
270,Gabriel Pereira,Male,16,Urban,4 or more,Together,higher,higher,services,services,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,excellent,normal,low,very low,low,excellent,4,14,15,15
271,Gabriel Pereira,Female,17,Urban,4 or more,Together,higher,higher,teacher,services,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,excellent,normal,very low,very low,high,excellent,2,11,11,12
272,Gabriel Pereira,Male,17,Rural,4 or more,Together,primary,primary,other,other,home,father,2,3,0,no,no,no,no,no,yes,yes,yes,good,normal,normal,very low,very low,very bad,2,13,14,15
273,Gabriel Pereira,Female,17,Urban,4 or more,Together,secondary,secondary,services,other,home,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,good,low,low,low,normal,excellent,10,11,11,11
274,Gabriel Pereira,Female,17,Urban,4 or more,Together,primary,primary,at_home,other,course,mother,1,2,0,yes,no,no,no,no,yes,no,yes,good,normal,low,very low,very low,good,10,10,9,10
275,Gabriel Pereira,Female,18,Urban,4 or more,Together,5th - 9th,primary,other,other,course,other,2,3,0,no,yes,no,no,no,yes,yes,yes,good,high,high,very low,very low,normal,10,12,10,11
276,Gabriel Pereira,Male,16,Urban,4 or more,Together,5th - 9th,primary,other,other,course,mother,3,1,0,no,no,no,no,yes,yes,yes,no,good,normal,normal,very low,very low,good,7,15,16,16
